session,state,metric,median_delta_pps,median_surrogate_iqr,median_surrogate_sd,rejection_fraction,fraction_delta_positive,fraction_delta_negative,fraction_delta_zero,n_valid_windows
18,Drowsy,Lmean,1.080257484234926,0.08972646999060263,0.0711996010928002,1.0,1.0,0.0,0.0,21
18,Drowsy,NRMSE,-0.21817187754415635,0.030099246608818575,0.0232269438586605,1.0,0.0,1.0,0.0,21
18,Drowsy,TT,-0.09829400099008234,0.030197266436275072,0.0227652210241682,1.0,0.0,1.0,0.0,21
19,Awake,CC,0.12763199059227542,0.058046285541797804,0.045322930105197445,0.6764705882352942,1.0,0.0,0.0,34
19,Awake,DET,0.2212650573499064,0.02725920238038107,0.02068589540938685,1.0,1.0,0.0,0.0,34
19,Awake,LAM,-0.14770600374334125,0.035213802370782726,0.0283715744585411,1.0,0.0,1.0,0.0,34
19,Awake,Lmean,0.9412980555226818,0.1172019892077576,0.0846017425797366,1.0,1.0,0.0,0.0,34
19,Awake,NRMSE,-0.18593869486792963,0.03651415505050626,0.0298203457947102,1.0,0.0,1.0,0.0,34
19,Awake,TT,-0.03582611061837904,0.018409532836805464,0.0142972745750027,0.9705882352941176,0.0,1.0,0.0,34
19,Drowsy,CC,0.2655940780463053,0.05932540934508268,0.04640555962271765,1.0,1.0,0.0,0.0,10
19,Drowsy,DET,0.189470653165043,0.023011949896818096,0.01927244014829905,1.0,1.0,0.0,0.0,10
19,Drowsy,LAM,-0.1276695301626914,0.03847722800787057,0.0293114418186586,1.0,0.0,1.0,0.0,10
19,Drowsy,Lmean,1.0283300039219494,0.09218575388132999,0.0753194344691108,1.0,1.0,0.0,0.0,10
19,Drowsy,NRMSE,-0.24420488959038672,0.027855045479237894,0.022346732162903553,1.0,0.0,1.0,0.0,10
19,Drowsy,TT,-0.08128204884552859,0.031490277008704215,0.0224528986496084,1.0,0.0,1.0,0.0,10
21,Awake,CC,0.21220414311129043,0.05717049304548982,0.0432093817617002,0.92,1.0,0.0,0.0,25
21,Awake,DET,0.21481019340596053,0.02752315592455723,0.0195651347302803,1.0,1.0,0.0,0.0,25
21,Awake,LAM,-0.12297835580937755,0.036377597542832485,0.0296547988050416,0.96,0.0,1.0,0.0,25
21,Awake,Lmean,0.9953452357466954,0.09742057979112273,0.0698558777610721,1.0,1.0,0.0,0.0,25
21,Awake,NRMSE,-0.19220516789902797,0.026408829979993165,0.0197739998499354,1.0,0.0,1.0,0.0,25
21,Awake,TT,-0.11031483595094294,0.03246610566349695,0.0261067591768189,1.0,0.0,1.0,0.0,25
21,Drowsy,CC,0.2544592715390586,0.05662618581064066,0.0440765702935073,0.8666666666666667,1.0,0.0,0.0,15
21,Drowsy,DET,0.19402985074626866,0.02509958247348465,0.0192915462263,1.0,1.0,0.0,0.0,15
21,Drowsy,LAM,-0.11993089216297931,0.03730143494744925,0.0272663953383036,0.9333333333333333,0.0,1.0,0.0,15
21,Drowsy,Lmean,0.959643543875945,0.08096347175158947,0.067974272629476,1.0,1.0,0.0,0.0,15
21,Drowsy,NRMSE,-0.21110872600815622,0.02358829845750421,0.0190018619487393,1.0,0.0,1.0,0.0,15
21,Drowsy,TT,-0.11673432646994764,0.03579489398283098,0.0263940149276877,1.0,0.0,1.0,0.0,15
22,Awake,CC,0.08386251805329081,0.05849365392710304,0.0420348894696719,0.5172413793103449,1.0,0.0,0.0,29
22,Awake,DET,0.2007006766809042,0.024763641599078567,0.0193220824592668,1.0,1.0,0.0,0.0,29
22,Awake,LAM,-0.162955319863704,0.037637375821855334,0.0291121244788226,1.0,0.0,1.0,0.0,29
22,Awake,Lmean,1.1358947432680266,0.10666469772146314,0.0841301279262107,1.0,1.0,0.0,0.0,29
22,Awake,NRMSE,-0.13092457681323655,0.039070254638222446,0.0300473161328155,0.9310344827586207,0.0,1.0,0.0,29
22,Awake,TT,-0.06969284386700592,0.021529037503455584,0.0168366336893499,1.0,0.0,1.0,0.0,29
22,Drowsy,CC,0.14147669740846047,0.06876985603185881,0.0500777904350161,0.6923076923076923,0.9230769230769231,0.07692307692307693,0.0,13
22,Drowsy,DET,0.18510342179776362,0.02641935019436581,0.0207614652872587,1.0,1.0,0.0,0.0,13
22,Drowsy,LAM,-0.15844411383596485,0.038837164659019985,0.0273194355360261,1.0,0.0,1.0,0.0,13
22,Drowsy,Lmean,1.149772156580502,0.09384789670953575,0.0720691552990162,1.0,1.0,0.0,0.0,13
22,Drowsy,NRMSE,-0.15083182475549828,0.03789359985905105,0.0294945514375688,0.8461538461538461,0.0,1.0,0.0,13
22,Drowsy,TT,-0.10899697118127305,0.03451009015345585,0.0232828618735505,1.0,0.0,1.0,0.0,13
23,Awake,CC,0.1264397977916022,0.06272881135275044,0.0491202492376086,0.6122448979591837,0.9591836734693877,0.04081632653061224,0.0,49
