session,window_id,window_size_s,label,representation,dimension,fnn_percent,valid_count
sample_1.csv,2,60,Awake,Processed,10,0.410958904109589,2920
sample_1.csv,3,60,Awake,Processed,1,96.55748663101605,2992
sample_1.csv,3,60,Awake,Processed,2,36.59517426273459,2984
sample_1.csv,3,60,Awake,Processed,3,9.307795698924732,2976
sample_1.csv,3,60,Awake,Processed,4,2.6954177897574128,2968
sample_1.csv,3,60,Awake,Processed,5,0.8783783783783784,2960
sample_1.csv,3,60,Awake,Processed,6,0.3048780487804878,2952
sample_1.csv,3,60,Awake,Processed,7,0.20380434782608695,2944
sample_1.csv,3,60,Awake,Processed,8,0.23841961852861035,2936
sample_1.csv,3,60,Awake,Processed,9,0.23907103825136614,2928
sample_1.csv,3,60,Awake,Processed,10,0.273972602739726,2920
sample_1.csv,4,60,Awake,Processed,1,97.09224598930481,2992
sample_1.csv,4,60,Awake,Processed,2,36.56166219839142,2984
sample_1.csv,4,60,Awake,Processed,3,9.91263440860215,2976
sample_1.csv,4,60,Awake,Processed,4,3.942048517520216,2968
sample_1.csv,4,60,Awake,Processed,5,1.2162162162162162,2960
sample_1.csv,4,60,Awake,Processed,6,0.575880758807588,2952
sample_1.csv,4,60,Awake,Processed,7,0.6114130434782609,2944
sample_1.csv,4,60,Awake,Processed,8,0.4087193460490463,2936
sample_1.csv,4,60,Awake,Processed,9,0.5122950819672131,2928
sample_1.csv,4,60,Awake,Processed,10,0.410958904109589,2920
sample_1.csv,5,60,Awake,Processed,1,96.72459893048129,2992
sample_1.csv,5,60,Awake,Processed,2,35.95844504021448,2984
sample_1.csv,5,60,Awake,Processed,3,10.14784946236559,2976
sample_1.csv,5,60,Awake,Processed,4,3.0660377358490565,2968
sample_1.csv,5,60,Awake,Processed,5,0.945945945945946,2960
sample_1.csv,5,60,Awake,Processed,6,0.20325203252032523,2952
sample_1.csv,5,60,Awake,Processed,7,0.2377717391304348,2944
sample_1.csv,5,60,Awake,Processed,8,0.23841961852861035,2936
sample_1.csv,5,60,Awake,Processed,9,0.1366120218579235,2928
sample_1.csv,5,60,Awake,Processed,10,0.3767123287671233,2920
sample_1.csv,6,60,Awake,Processed,1,96.99197860962568,2992
sample_1.csv,6,60,Awake,Processed,2,31.434316353887397,2984
sample_1.csv,6,60,Awake,Processed,3,7.963709677419355,2976
sample_1.csv,6,60,Awake,Processed,4,4.2789757412398925,2968
sample_1.csv,6,60,Awake,Processed,5,1.5202702702702704,2960
sample_1.csv,6,60,Awake,Processed,6,0.6097560975609756,2952
sample_1.csv,6,60,Awake,Processed,7,0.7133152173913043,2944
sample_1.csv,6,60,Awake,Processed,8,0.8855585831062671,2936
