session,window_id,state,window_size_s,representation,surrogate_id,surrogate_seed,rho_star,sampling_rate_hz,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,max_follow_s,surrogate_lle,surrogate_fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,valid,qc_reason
8,3,Awake,60,processed,16,999312197316522827,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6690477652539379,0.9023716645013958,1472,1472,1415,True,ok
8,3,Awake,60,processed,17,2709319427681703883,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6016717692729552,0.8976598436521741,1472,1472,1397,True,ok
8,3,Awake,60,processed,18,18238194145264040734,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.57276722048183,0.9294392612006809,1472,1472,1432,True,ok
8,3,Awake,60,processed,19,13217837533856112639,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6617447187755816,0.9422127457913311,1472,1472,1407,True,ok
8,3,Awake,60,processed,20,14882211409839449277,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.69853950620004,0.9052673713443872,1472,1472,1385,True,ok
8,3,Awake,60,processed,21,11542540867200753248,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6803977875505454,0.9181623776938056,1472,1468,1411,True,ok
8,3,Awake,60,processed,22,13956928626680819639,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7118578329429327,0.9158847038587156,1472,1472,1416,True,ok
8,3,Awake,60,processed,23,2446458993860903646,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7595302902991042,0.9379623811098791,1472,1472,1415,True,ok
8,3,Awake,60,processed,24,9112028359674870846,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7695096382829947,0.9427053051918134,1472,1472,1403,True,ok
8,3,Awake,60,processed,25,17367294728237168232,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6767733627354027,0.9393874681528972,1472,1472,1399,True,ok
8,3,Awake,60,processed,26,11729195587868245954,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.659842254550603,0.8891858843911553,1472,1472,1424,True,ok
8,3,Awake,60,processed,27,12641529306467806746,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7078678118442324,0.9449998458297193,1472,1472,1425,True,ok
8,3,Awake,60,processed,28,5351481638641619634,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.713657111174436,0.8704446560416957,1472,1472,1419,True,ok
8,3,Awake,60,processed,29,6991744597160753649,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7289166437809785,0.9641826905002605,1472,1472,1424,True,ok
8,3,Awake,60,processed,30,6556050308221041564,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7079543424938243,0.9344194549154423,1472,1472,1415,True,ok
8,3,Awake,60,processed,31,17268131609183507263,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6624082603059211,0.8282063937210185,1472,1472,1423,True,ok
8,3,Awake,60,processed,32,17313885896020984246,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6388781310819821,0.8806302217308383,1472,1472,1403,True,ok
8,3,Awake,60,processed,33,6369387800148127894,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.690112279211064,0.9208658141090309,1472,1472,1429,True,ok
8,3,Awake,60,processed,34,12389338354097927772,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6948748830675409,0.9252071760332269,1472,1472,1415,True,ok
8,3,Awake,60,processed,35,4096560822385166484,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.686370862538858,0.9591811177486518,1472,1472,1397,True,ok
8,3,Awake,60,processed,36,16082298380230788644,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6268288223450643,0.8763103483525572,1472,1472,1403,True,ok
8,3,Awake,60,processed,37,15199192246839525547,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.6433688858589179,0.9615730534686979,1472,1472,1409,True,ok
8,3,Awake,60,processed,38,5952762744005448282,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7174337045855921,0.9471917050642279,1472,1472,1418,True,ok
8,3,Awake,60,processed,39,11108507420821955550,95.63524997900372,24.993751562005933,8,0.16,4,0.5827212199664955,15,0.8,1.3,5.0,0.7650593964834763,0.964945519609295,1472,1472,1416,True,ok
8,4,Awake,60,processed,1,2586586898127873059,95.63524997900372,24.993751562005933,8,0.16,4,0.5613702924115814,14,0.8,1.3,5.0,0.7299813936766277,0.949690803927629,1472,1472,1424,True,ok
8,4,Awake,60,processed,2,2211367684661546420,95.63524997900372,24.993751562005933,8,0.16,4,0.5613702924115814,14,0.8,1.3,5.0,0.8017065183883588,0.9649151267076572,1472,1472,1394,True,ok
8,4,Awake,60,processed,3,1255656762177626792,95.63524997900372,24.993751562005933,8,0.16,4,0.5613702924115814,14,0.8,1.3,5.0,0.7298123468621062,0.9062394239004908,1472,1472,1394,True,ok
8,4,Awake,60,processed,4,14515738265686415157,95.63524997900372,24.993751562005933,8,0.16,4,0.5613702924115814,14,0.8,1.3,5.0,0.7344176020167613,0.9146301520484604,1472,1472,1404,True,ok
8,4,Awake,60,processed,5,2718184245188775832,95.63524997900372,24.993751562005933,8,0.16,4,0.5613702924115814,14,0.8,1.3,5.0,0.7355198817805703,0.9715722984656442,1472,1472,1418,True,ok
8,4,Awake,60,processed,6,2591257423021048550,95.63524997900372,24.993751562005933,8,0.16,4,0.5613702924115814,14,0.8,1.3,5.0,0.7211287739422028,0.9691268093523828,1472,1472,1414,True,ok
