session,representation,state,window_size,window_id,fs,tau_samples,theiler_samples,epsilon,target_rr,achieved_rr,DET,Lmean,ENTR,Lmax,LAM,TT,Vmax,n_diagonal_lines,n_vertical_lines
sample_1,Raw,Drowsy,60,21,50.00000000004548,10,70,378.188788832182,0.02,0.0200001467577543,0.9672732609333724,5.602209944751381,2.1526704050028966,178,0.9846700420702476,5.519228132711818,21,14118,29176
sample_1,Raw,Drowsy,60,24,50.00000000004548,10,70,231.2271610343387,0.02,0.0200013697390402,0.9691462952319224,7.046950026676152,2.290091652533568,305,0.9842123928436036,5.12624203821656,15,11246,31400
sample_1,Raw,Drowsy,60,25,50.00000000004548,10,70,256.52290346088006,0.02,0.0200003913540115,0.976164561141753,8.134107816162233,2.389637216528852,260,0.9899106018173146,5.5233026270897305,12,9813,29310
sample_1,Raw,Drowsy,60,26,50.00000000004548,10,70,292.06506124492194,0.02,0.0200003913540115,0.9789039856180216,8.292996270203068,2.525080788953289,206,0.989042302094926,5.926932942469769,25,9652,27290
sample_1,Raw,Drowsy,60,31,50.00000000004548,10,70,201.3985600706914,0.02,0.0200001467577543,0.9873544662948832,12.186264150943396,2.8308636256510806,237,0.9938729087173468,11.462200282087448,169,6625,14180
sample_1,Raw,Drowsy,60,32,50.00000000004548,10,70,245.96951030564745,0.02,0.0200008805465258,0.9705763657042228,6.261044493531083,2.224975760160964,198,0.9857651245551602,6.293734140152255,59,12676,25615
sample_1,Raw,Drowsy,60,34,50.00000000004548,10,70,270.60443454751925,0.02,0.0200001467577543,0.9665639369924665,6.4813842873544365,2.288834555319496,214,0.982065111045886,4.78683198712408,12,12194,33551
sample_1,Raw,Drowsy,120,9,50.00000000004548,10,70,357.8044158475409,0.02,0.0200002097062539,0.9732103069543108,7.612671724420751,2.348009695076036,521,0.9874599887575326,7.002478493901872,418,43893,96833
sample_1,Raw,Drowsy,120,11,50.00000000004548,10,70,282.5951167306328,0.02,0.0200000932027795,0.9786945264010206,7.711925089507023,2.381970446502884,330,0.9905953008542576,6.295360524196907,30,43572,108051
sample_1,Raw,Drowsy,120,14,50.00000000004548,10,70,231.7541801133261,0.02,0.0200006174684144,0.980509570464951,8.622477205204385,2.540968453083501,302,0.9901572165849226,8.966951086024768,334,39044,75827
sample_1,Raw,Drowsy,180,6,50.00000000004548,10,70,320.50117004466614,0.02,0.0200001172112786,0.9833943168151336,8.79512773182015,2.5051326923141795,437,0.993251472776566,7.21635218379314,60,87762,216069
sample_10,Processed,Awake,60,1,24.998235827015687,4,28,566.2897921551427,0.02,0.0200000767867803,0.7536593559533522,4.084265279583875,1.428044730332337,83,0.3546095887123866,2.0130772374335923,3,3845,7341
sample_10,Processed,Awake,60,2,24.998235827015687,4,28,510.0909616555055,0.02,0.0200000767867803,0.7755914958967222,4.360766324878576,1.504818217721435,84,0.3787253443393962,2.0302289683560586,3,3706,7774
sample_10,Processed,Awake,60,3,24.998235827015687,4,28,554.9565625805823,0.02,0.0200000767867803,0.7850938234870662,4.383440514469453,1.3907579736904987,178,0.3347890771224264,2.012404442521276,3,3732,6933
sample_10,Processed,Awake,60,4,24.998235827015687,4,28,543.7382635027939,0.02,0.0200000767867803,0.7629217257762634,4.378132745800055,1.4861429083399695,98,0.28482986994289,2.002699510713683,3,3631,5927
sample_10,Processed,Awake,60,5,24.998235827015687,4,28,530.2798645507482,0.02,0.0200000767867803,0.7595143254787158,4.232682535437283,1.450614225476538,65,0.2836300811057254,2.001015744032504,3,3739,5907
sample_10,Processed,Awake,60,6,24.998235827015687,4,28,573.9747365307546,0.02,0.0200000767867803,0.753227431971973,4.330849889624724,1.4518880451628295,78,0.4440898401881269,2.037318361955086,3,3624,9084
sample_10,Processed,Awake,60,7,24.998235827015687,4,28,535.4907736230567,0.02,0.0200000767867803,0.7909967845659164,4.272161741835148,1.440581264036888,78,0.2743437155060709,2.001926107511819,3,3858,5711
sample_10,Processed,Awake,60,8,24.998235827015687,4,28,619.9726562612417,0.02,0.0200000767867803,0.7569707731439267,4.415733482642777,1.544623174946389,83,0.3734942650093583,2.025110590684361,3,3572,7686
sample_10,Processed,Awake,60,9,24.998235827015687,4,28,550.6092970995652,0.02,0.0200000767867803,0.7782310313384845,4.906505295007564,1.5842676921522454,81,0.3145846331045736,2.00305576776165,3,3305,6545
sample_10,Processed,Awake,60,14,24.998235827015687,4,28,683.8073188866992,0.02,0.0200000767867803,0.7325910639727408,4.528329872441412,1.5715247963234869,79,0.4115035753707347,2.05796231849274,3,3371,8333
sample_10,Processed,Awake,60,15,24.998235827015687,4,28,530.2534264997901,0.02,0.0200000767867803,0.7679128473388683,4.242046659597031,1.4259961721936514,113,0.2025963430436243,2.000236910684672,3,3772,4221
sample_10,Processed,Awake,60,16,24.998235827015687,4,28,632.2504224415312,0.02,0.0200000767867803,0.7458367327350386,4.226543377753604,1.4291816774914257,137,0.335244996880549,2.00963751438435,3,3677,6952
sample_10,Processed,Awake,60,17,24.998235827015687,4,28,629.6263843272819,0.02,0.0200000767867803,0.7397418054422422,4.424225028702641,1.5057945889557522,77,0.3303018668714306,2.015078319426145,3,3484,6831
sample_10,Processed,Awake,60,18,24.998235827015687,4,28,561.7829817898647,0.02,0.0200000767867803,0.7615779622786389,4.199259063244244,1.3716725435618051,96,0.3444353793732303,2.0202674173117523,3,3779,7105
sample_10,Processed,Awake,60,19,24.998235827015687,4,28,598.8027122706276,0.02,0.0200000767867803,0.7556750011997888,4.2568261692349285,1.3909271696903296,93,0.3168162403416998,2.0071450288841595,3,3699,6578
sample_10,Processed,Awake,60,20,24.998235827015687,4,28,600.3305114546888,0.02,0.0200000767867803,0.7324470893122811,4.250069618490671,1.409332237075942,118,0.4040168930268272,2.062094304960196,3,3591,8165
sample_10,Processed,Awake,60,21,24.998235827015687,4,28,506.0679977132799,0.02,0.0200000767867803,0.749964006334885,4.308519437551696,1.4560008448296209,111,0.1997168498344291,2.000721153846154,3,3627,4160
sample_10,Processed,Awake,60,22,24.998235827015687,4,28,563.1907393243904,0.02,0.0200000767867803,0.7620578778135049,4.74,1.6280247527731455,89,0.2636895906320488,2.00382932166302,3,3350,5484
sample_10,Processed,Awake,60,23,24.998235827015687,4,28,736.7901140600385,0.02,0.0200000767867803,0.7440130537025483,4.283780049737497,1.383313434716398,109,0.4795795939914575,2.0879648976180527,4,3619,9572
sample_10,Processed,Awake,60,24,24.998235827015687,4,28,812.8790030985236,0.02,0.0200000767867803,0.7347506838796372,4.307822172200337,1.4329065067269242,75,0.577506358880837,2.2530425014042312,5,3554,10682
sample_10,Processed,Awake,60,25,24.998235827015687,4,28,700.9219053448084,0.02,0.0200000767867803,0.7229927532754236,4.203404017857143,1.4227180204912588,159,0.4381868791092768,2.0483454851374088,4,3584,8915
sample_10,Processed,Awake,60,26,24.998235827015687,4,28,566.7007580206129,0.02,0.0200000767867803,0.7394538561213226,4.1011445302102745,1.4299623927251912,87,0.2210970869127033,2.003043478260869,3,3757,4600
sample_10,Processed,Awake,60,27,24.998235827015687,4,28,634.2751006411165,0.02,0.0200000767867803,0.7545711954695974,4.183874401277275,1.3810289022404536,98,0.3380525027595143,2.002558635394456,3,3758,7035
sample_10,Processed,Awake,60,28,24.998235827015687,4,28,557.7397646212277,0.02,0.0200000767867803,0.7592743677112828,4.64231220657277,1.543717578499719,95,0.2266641071171473,2.0,2,3408,4723
sample_10,Processed,Awake,60,29,24.998235827015687,4,28,580.1952688325712,0.02,0.0200000767867803,0.7104189662619379,4.267223983857019,1.4490419440104385,107,0.2730239477851898,2.0017593244194227,3,3469,5684
sample_10,Processed,Awake,60,30,24.998235827015687,4,28,519.4777880189874,0.02,0.0200000767867803,0.7159859864663819,4.052974735126324,1.3880477601657517,57,0.2907808225752267,2.00529538308787,3,3681,6043
sample_10,Processed,Awake,60,31,24.998235827015687,4,28,595.517743706077,0.02,0.0200000767867803,0.7757834621106685,4.497774067890929,1.4678809858637651,76,0.2733358928828526,2.0022851116189138,3,3594,5689
