session,representation,window_size,n_awake_windows,n_drowsy_windows,delta_DET,delta_Lmean,delta_ENTR,delta_Lmax,delta_LAM,delta_TT,delta_Vmax
sample_19,Raw,180,9,2,-0.020266696458743794,-0.011504719564302324,-0.058421737949390984,58.388888888888886,0.21286829248893635,0.5151040996351144,4.666666666666667
sample_21,Processed,60,25,15,-0.039594311401193405,-0.10935565062279018,-0.013464943837577126,-13.506666666666675,0.010674601270176498,0.0036543087592004753,0.05333333333333368
sample_21,Processed,120,12,7,-0.04108119783542785,-0.11515224932914592,-0.02125299974044803,-12.452380952380963,0.0036965878200498348,0.011258782588110972,-0.2023809523809521
sample_21,Processed,180,7,4,-0.04297355746098963,-0.09764734732695901,-0.029849574868404893,14.32142857142857,-0.000501852576713202,0.0185943301386291,-0.4285714285714288
sample_21,Raw,60,25,17,0.011176823059234509,0.01974314762534135,0.007670110498393612,-0.9105882352941137,0.05078118672716858,0.0693864008206364,0.5905882352941179
sample_21,Raw,120,12,8,0.0036115424040540356,0.03386568848569427,0.009111095722875273,20.70833333333333,0.05791706555252174,0.10958686631327996,0.791666666666667
sample_21,Raw,180,7,4,0.00384237331945092,0.0818356809961478,0.032608944450942756,14.892857142857139,0.025891924262888333,0.02350202979259519,0.39285714285714324
sample_22,Processed,60,29,13,-0.022197302823774634,-0.018984204183169595,-0.03207359068031046,5.525198938992048,0.08874179258508857,0.0327385130311888,0.2917771883289122
sample_22,Processed,120,13,6,-0.02286316401295263,0.010240012849607627,-0.03879216831134169,19.128205128205124,0.08770010872917083,0.02976502207301701,0.2564102564102564
sample_22,Processed,180,8,3,-0.007080803118473922,0.07908268260633466,-0.0034682285695757376,29.291666666666657,0.037694398159168474,-0.017156741664779318,-6.416666666666666
sample_22,Raw,60,31,14,0.03011744605676514,0.03544331976422255,0.006679408736345538,5.331797235023046,0.14407567335555826,0.1659199681527297,-1.2373271889400916
sample_22,Raw,120,14,6,0.030306812365299862,0.056979750743074487,-0.00017273602312095626,27.261904761904773,0.1391732244222098,0.1864005595848055,-3.9523809523809534
sample_22,Raw,180,8,3,0.02473773179412686,0.07443756180122296,0.003709026977410934,51.91666666666666,0.13122287063700377,0.1361761110119728,-7.625
sample_23,Processed,60,49,13,-0.01578959779687894,-0.06379835532616962,-0.02969105989382692,3.9529042386185296,-0.012446010444077116,0.011511064330492093,0.2558869701726847
sample_23,Processed,120,22,4,-0.014673232171674044,-0.06511927113986804,-0.04697978749035725,5.295454545454547,-0.0150274850954083,0.019164021912948748,0.45454545454545414
sample_23,Processed,180,15,1,-0.029811882007154566,-0.12027310048711115,-0.0241011515794316,16.266666666666666,0.008841022316537328,0.04543955133624511,1.333333333333333
sample_23,Raw,60,55,13,0.0033524433057675607,0.195553114781724,0.05124740152483542,9.72027972027972,0.011925881695361018,0.06654749450264497,0.9300699300699309
sample_23,Raw,120,26,6,-0.005737916690953582,0.2060702820756939,0.05932400831601914,32.21794871794873,0.0026618788332331,0.040565973758520446,1.384615384615385
