session,window_id,state,window_size_s,representation,sampling_rate_hz,n_samples,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,fit_duration_s,max_follow_s,lle_1_per_s,fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,analysis_included,signal_finite,valid,qc_reason
5,3,Awake,180,processed,25.002500250041432,4500,8,0.16,4,0.5051524714032004,13,0.8,1.3,0.5,5.0,0.81560485980793,0.9794159364811365,4472,4472,4411,True,True,True,ok
5,4,Awake,180,processed,25.002500250041432,4500,8,0.16,4,0.49728331089884187,12,0.8,1.3,0.5,5.0,0.8370631248165149,0.9937054909486165,4472,4472,4401,True,True,True,ok
5,5,Awake,180,processed,25.002500250041432,4500,8,0.16,4,0.4921947765832985,12,0.8,1.3,0.5,5.0,0.8389193245211116,0.9892702779375859,4472,4472,4406,True,True,True,ok
5,6,Awake,180,processed,25.002500250041432,4500,8,0.16,4,0.49260153983069144,12,0.8,1.3,0.5,5.0,0.8030316554237964,0.9830213809701798,4472,4472,4406,True,True,True,ok
5,7,Awake,180,processed,25.002500250041432,4500,8,0.16,4,0.49170681005779093,12,0.8,1.3,0.5,5.0,0.8354412243014057,0.9833917872958597,4472,4472,4397,True,True,True,ok
5,9,Drowsy,180,processed,25.002500250041432,4500,8,0.16,4,0.4474363839220808,11,0.8,1.3,0.5,5.0,0.7617827912176789,0.9643452468320914,4472,4472,4380,True,True,True,ok
5,10,Awake,180,processed,25.002500250041432,4500,8,0.16,4,0.46831283443246874,12,0.8,1.3,0.5,5.0,0.8172864635309292,0.9796847266017948,4472,4472,4387,True,True,True,ok
5,11,Awake,180,processed,25.002500250041432,4500,8,0.16,4,0.46728260779709935,12,0.8,1.3,0.5,5.0,0.8553992588440419,0.97616454504915,4472,4472,4406,True,True,True,ok
5,12,Drowsy,180,processed,25.002500250041432,4500,8,0.16,4,0.5005428415576031,13,0.8,1.3,0.5,5.0,0.7179691178301335,0.9637596785373579,4472,4472,4397,True,True,True,ok
5,13,Drowsy,180,processed,25.002500250041432,4500,8,0.16,4,0.49741943832336444,12,0.8,1.3,0.5,5.0,0.6777539787097976,0.982343749229165,4472,4472,4411,True,True,True,ok
