session,state,representation,window_size_s,horizon_seconds,central_cc,variability_cc,median_cc,iqr_cc,central_nrmse,variability_nrmse,median_nrmse,iqr_nrmse,mean_valid_fraction,minimum_valid_fraction,n_windows
sample_6,Awake,Raw,120,0.4,0.8329092806795535,0.039139053553842985,0.8423963877632747,0.04543596107445769,0.5505992861236396,0.05639212380468707,0.5389035248538714,0.07204750173929608,1.0,1.0,14
sample_6,Awake,Raw,120,0.6,0.8111000616011222,0.0429059505074418,0.8239714476518073,0.056916363044030804,0.5822077338425699,0.05741031052099881,0.5687366061226851,0.078791161327456,1.0,1.0,14
sample_6,Awake,Raw,120,0.8,0.8020520275374193,0.04042336943336634,0.8133475392638947,0.046587955981050255,0.5953967701922368,0.05293714902823312,0.5846272732771236,0.06336326760477451,1.0,1.0,14
sample_6,Awake,Raw,120,1.0,0.6783783938438317,0.07649861588628605,0.6878705165183959,0.059561839816731355,0.734993977985077,0.07101832135901912,0.7312307372727087,0.060408635867496896,1.0,1.0,14
sample_6,Awake,Raw,120,1.2,0.6575772916040716,0.07984928862412036,0.6633583741563508,0.07291610613599908,0.7550413809940822,0.0696455508983301,0.7530698890345393,0.06430734060991827,1.0,1.0,14
sample_6,Awake,Raw,120,1.6,0.6128386101380094,0.08212786661316157,0.6280476515025435,0.07972828972188784,0.7952905282584127,0.0670186528656275,0.787296438748541,0.0625496855465818,1.0,1.0,14
sample_6,Awake,Raw,120,2.0,0.5046405042422187,0.10260667507654547,0.5168348020562596,0.10321846276625068,0.8756114491269903,0.06612452700054769,0.8733251626294426,0.05913579895138432,1.0,1.0,14
sample_6,Awake,Raw,120,2.4,0.47085794369286316,0.1072310562919839,0.4698601057491705,0.13641396128196842,0.8979955643749619,0.0666132932737443,0.9043210857307102,0.07965740504885,1.0,1.0,14
sample_6,Awake,Raw,120,2.8,0.38403941890467497,0.12058831806790285,0.39261627217911643,0.1402539651039772,0.9484793557356433,0.06451341124138567,0.9517042285828368,0.06574656787385635,1.0,1.0,14
sample_6,Awake,Raw,120,3.2,0.3605545451785134,0.12446142342348913,0.3633026766493405,0.1749696793972415,0.9614273892820512,0.06447742158053021,0.9663721389914236,0.07583078570590884,1.0,1.0,14
sample_6,Awake,Raw,120,3.6,0.29599012230163646,0.13008529717374331,0.3138526234929807,0.17308040453681356,0.9919972458125191,0.05927042477992302,1.0005774524001412,0.06800881202612563,1.0,1.0,14
sample_6,Awake,Raw,120,4.0,0.28062713800158645,0.14081274974225808,0.32038070108974465,0.21972643847872006,0.9974764103587486,0.06292076201443784,0.9945036184202699,0.08844368785099366,1.0,1.0,14
sample_6,Awake,Raw,180,0.04,0.9568415323172624,0.009108178654607791,0.9568449725120458,0.0061769147391012025,0.28927854206098824,0.03111832559260929,0.2906084757428521,0.020366510490675394,1.0,1.0,9
sample_6,Awake,Raw,180,0.08,0.8929316372923678,0.024855637124822662,0.8954711945836231,0.022992786227029383,0.44733190897783615,0.05258666734141596,0.4452507199124667,0.04595922248490092,1.0,1.0,9
sample_6,Awake,Raw,180,0.12,0.8672863160701811,0.030646094431765167,0.8718565153708876,0.023352629111259793,0.49464351343514934,0.05642198529486463,0.48911010871248445,0.04103248916777702,1.0,1.0,9
sample_6,Awake,Raw,180,0.16,0.8681151473749237,0.03184405099516541,0.8747958748715682,0.028093033625728125,0.4930522332047155,0.057628996442248046,0.48505731522356327,0.05073487807803284,1.0,1.0,9
sample_6,Awake,Raw,180,0.2,0.8705787491962935,0.03479066940133931,0.8783949101693322,0.03182761071935625,0.4880998420008011,0.06351946411266399,0.47817884123848264,0.057334933579580416,1.0,1.0,9
sample_6,Awake,Raw,180,0.28,0.8529014040320602,0.03968934298732973,0.8566879671145045,0.04062987265891016,0.5177704837156178,0.06712558311264687,0.5159673563473921,0.0654036231210347,1.0,1.0,9
sample_6,Awake,Raw,180,0.4,0.8593642548767735,0.037944791905873416,0.8712434345330233,0.03491760957342871,0.5076474846210376,0.06413616298421412,0.49098686051433604,0.05998289808464291,1.0,1.0,9
sample_6,Awake,Raw,180,0.6,0.83985708784565,0.04376252945232312,0.8454676233833979,0.03764755975141121,0.5387695643388404,0.06905806894768006,0.5354629466017965,0.06087612311109225,1.0,1.0,9
sample_6,Awake,Raw,180,0.8,0.8315316276011098,0.04306679284256576,0.839852955233302,0.0395762715411242,0.5520383825084321,0.06765757706704537,0.544624455740984,0.06002637015486012,1.0,1.0,9
