session,state,duration_s,n_windows,metric,value
4,Drowsy,30,34,Mean_CC,0.6546533020843065
5,Awake,30,66,Mean_CC,0.6639870971583023
5,Drowsy,30,32,Mean_CC,0.60485720832147
6,Awake,30,62,Mean_CC,0.6860936649712861
6,Drowsy,30,34,Mean_CC,0.7128097102414381
7,Awake,30,68,Mean_CC,0.712211813171615
7,Drowsy,30,22,Mean_CC,0.6286907360354858
8,Awake,30,72,Mean_CC,0.7093900643469377
8,Drowsy,30,20,Mean_CC,0.6733531621468816
9,Awake,30,94,Mean_CC,0.6834248978687315
9,Drowsy,30,36,Mean_CC,0.6808705997825685
10,Awake,30,54,Mean_CC,0.7518359485710193
10,Drowsy,30,18,Mean_CC,0.6550844041790171
11,Awake,30,40,Mean_CC,0.6976334354682461
11,Drowsy,30,36,Mean_CC,0.6300696135069589
12,Awake,30,40,Mean_CC,0.699685065755494
12,Drowsy,30,70,Mean_CC,0.6870893595256271
13,Awake,30,50,Mean_CC,0.6401719572588422
13,Drowsy,30,46,Mean_CC,0.6233711864566681
14,Awake,30,62,Mean_CC,0.662018707025691
14,Drowsy,30,34,Mean_CC,0.5816060857429333
15,Awake,30,56,Mean_CC,0.6679773600810093
15,Drowsy,30,12,Mean_CC,0.6615852464079373
17,Awake,30,56,Mean_CC,0.6469102076490341
17,Drowsy,30,28,Mean_CC,0.7316406920025195
18,Awake,30,38,Mean_CC,0.7286525581668982
18,Drowsy,30,42,Mean_CC,0.6381318082595224
19,Awake,30,68,Mean_CC,0.722652843331258
19,Drowsy,30,20,Mean_CC,0.7298347451604841
21,Awake,30,50,Mean_CC,0.6080967108861574
21,Drowsy,30,30,Mean_CC,0.6028712892166359
22,Awake,30,58,Mean_CC,0.7088794122982728
22,Drowsy,30,26,Mean_CC,0.6340483538948685
23,Awake,30,98,Mean_CC,0.6185555841124302
23,Drowsy,30,26,Mean_CC,0.6061559205292784
25,Awake,30,54,Mean_CC,0.7288932566378883
25,Drowsy,30,30,Mean_CC,0.6270846603656162
1,Awake,60,24,Mean_CC,0.7162572792370095
1,Drowsy,60,7,Mean_CC,0.7371784571491848
4,Awake,60,29,Mean_CC,0.624877585725933
4,Drowsy,60,17,Mean_CC,0.6617064624683453
5,Awake,60,33,Mean_CC,0.6614714043014197
5,Drowsy,60,16,Mean_CC,0.6256650285960395
6,Awake,60,31,Mean_CC,0.6907542112070781
6,Drowsy,60,17,Mean_CC,0.673492348793435
7,Awake,60,34,Mean_CC,0.7097277092543911
7,Drowsy,60,11,Mean_CC,0.6412090240001522
8,Awake,60,36,Mean_CC,0.7251074065978171
8,Drowsy,60,10,Mean_CC,0.6733816672694368
9,Awake,60,47,Mean_CC,0.6737099746084309
9,Drowsy,60,18,Mean_CC,0.6836914526407016
10,Awake,60,27,Mean_CC,0.7489728173169774
10,Drowsy,60,9,Mean_CC,0.6772056352606055
11,Awake,60,20,Mean_CC,0.6872602908430605
11,Drowsy,60,18,Mean_CC,0.6553255230883006
12,Awake,60,20,Mean_CC,0.7288506474216
12,Drowsy,60,35,Mean_CC,0.6885203529436704
13,Awake,60,25,Mean_CC,0.6570406918989898
13,Drowsy,60,23,Mean_CC,0.6628641325798544
14,Awake,60,31,Mean_CC,0.67273088774744
14,Drowsy,60,17,Mean_CC,0.605526975701356
15,Awake,60,28,Mean_CC,0.6838887782431654
15,Drowsy,60,6,Mean_CC,0.674000131067526
17,Awake,60,28,Mean_CC,0.6670946034022217
17,Drowsy,60,14,Mean_CC,0.7669144948087139
