session,duration_s,metric,awake,drowsy,delta_drowsy_minus_awake,n_windows_awake,n_windows_drowsy,source_domain,expected_sign,in_expected_direction
18,180,DET,0.6752394313410688,0.6330179744437748,-0.04222145689729395,5,6,RQA,-1,True
19,180,DET,0.6757533226252667,0.5922329359188079,-0.08352038670645878,9,2,RQA,-1,True
21,180,DET,0.6086443450647515,0.5622394870522216,-0.046404858012529915,7,4,RQA,-1,True
22,180,DET,0.7226065729031081,0.7202337842560282,-0.0023727886470799042,8,3,RQA,-1,True
23,180,DET,0.7007551393538519,0.6719929905240394,-0.02876214882981254,15,1,RQA,-1,True
25,180,DET,0.7451040996356892,0.6512497529882093,-0.09385434664747994,6,4,RQA,-1,True
1,60,LLE,0.9363806938428474,0.8508454421393316,-0.08553525170351584,24,7,LLE,-1,True
4,60,LLE,0.8082048466294136,0.7588513260015309,-0.049353520627882674,29,17,LLE,-1,True
5,60,LLE,0.7628833744483251,0.6941292190349919,-0.06875415541333318,33,16,LLE,-1,True
6,60,LLE,0.8256898204542096,0.8046403291096984,-0.021049491344511173,30,17,LLE,-1,True
7,60,LLE,0.8573768180858816,0.8043501494244537,-0.05302666866142791,34,10,LLE,-1,True
8,60,LLE,0.8532027863391012,0.8126271798539587,-0.04057560648514247,36,10,LLE,-1,True
10,60,LLE,0.890667318503439,0.829442190014108,-0.06122512848933104,27,9,LLE,-1,True
11,60,LLE,0.8437742721121827,0.8188726761024433,-0.024901596009739402,19,18,LLE,-1,True
12,60,LLE,0.769740121608089,0.7728564744125314,0.003116352804442335,20,33,LLE,-1,False
14,60,LLE,0.8018279192614624,0.7100971948676058,-0.09173072439385654,26,14,LLE,-1,True
15,60,LLE,0.7904421506962169,0.7864602959518863,-0.0039818547443306596,28,6,LLE,-1,True
17,60,LLE,0.8494964506349506,0.8192815444903421,-0.030214906144608533,28,14,LLE,-1,True
18,60,LLE,0.7094166847443069,0.7559050314396178,0.04648834669531099,18,20,LLE,-1,False
19,60,LLE,0.8136185800827452,0.7790534640443186,-0.0345651160384266,33,10,LLE,-1,True
21,60,LLE,0.7233579537881958,0.6689893837927872,-0.05436856999540862,24,13,LLE,-1,True
22,60,LLE,0.7504517549863553,0.7213318356713982,-0.029119919314957055,29,12,LLE,-1,True
23,60,LLE,0.8562690574170972,0.814895336130383,-0.04137372128671424,49,13,LLE,-1,True
25,60,LLE,0.8753285532282131,0.8104998271738018,-0.06482872605441137,27,14,LLE,-1,True
1,120,LLE,0.9769404470775888,0.8865572444971673,-0.09038320258042143,11,1,LLE,-1,True
4,120,LLE,0.8359409794691308,0.795048649645683,-0.040892329823447815,13,7,LLE,-1,True
5,120,LLE,0.7933285624530071,0.6997967002475929,-0.0935318622054142,14,8,LLE,-1,True
6,120,LLE,0.8569064575022243,0.8450022455629663,-0.011904211939257947,14,7,LLE,-1,True
7,120,LLE,0.9152161007632498,0.8928163770126064,-0.022399723750643363,17,5,LLE,-1,True
8,120,LLE,0.9008096275401364,0.8348151746487533,-0.06599445289138306,17,5,LLE,-1,True
10,120,LLE,0.9196125444838339,0.8675336559697198,-0.05207888851411413,12,4,LLE,-1,True
11,120,LLE,0.881616181040685,0.8340806913128905,-0.04753548972779442,9,8,LLE,-1,True
12,120,LLE,0.7657247837939549,0.8122342185671041,0.04650943477314917,8,16,LLE,-1,False
14,120,LLE,0.8109921107654257,0.721413404408872,-0.08957870635655363,13,7,LLE,-1,True
15,120,LLE,0.8267979881125382,0.8135360198797702,-0.01326196823276804,12,3,LLE,-1,True
17,120,LLE,0.8838637177985296,0.8607571010047175,-0.023106616793812096,14,5,LLE,-1,True
18,120,LLE,0.7403821489488904,0.8314792593545535,0.09109711040566304,8,9,LLE,-1,False
19,120,LLE,0.8420505107919187,0.8049056662356782,-0.037144844556240564,15,4,LLE,-1,True
21,120,LLE,0.7665037545718868,0.6801811875693503,-0.08632256700253649,11,7,LLE,-1,True
22,120,LLE,0.7968323669093442,0.7446300628818431,-0.052202304027501145,13,6,LLE,-1,True
23,120,LLE,0.8771924251689436,0.8252659392829577,-0.05192648588598592,22,4,LLE,-1,True
25,120,LLE,0.9072913834452421,0.8061399458489273,-0.10115143759631473,12,7,LLE,-1,True
1,180,LLE,1.0023481304664883,0.9529625256358444,-0.049385604830643914,6,1,LLE,-1,True
4,180,LLE,0.8582258720034546,0.783250030703281,-0.07497584130017354,8,5,LLE,-1,True
5,180,LLE,0.8292270718734696,0.7179691178301335,-0.11125795404333605,9,3,LLE,-1,True
6,180,LLE,0.8833804778804246,0.8310357261870325,-0.052344751693392144,8,5,LLE,-1,True
7,180,LLE,0.8968692010464254,0.9358585816542112,0.038989380607785784,11,1,LLE,-1,False
8,180,LLE,0.9067144474475806,0.8419545747837551,-0.06475987266382544,9,3,LLE,-1,True
10,180,LLE,0.9494682769231326,0.8991544615355624,-0.05031381538757018,7,2,LLE,-1,True
11,180,LLE,0.9185620314004868,0.8624076458932002,-0.056154385507286575,5,6,LLE,-1,True
12,180,LLE,0.811936711953884,0.8286015246668043,0.016664812712920307,5,10,LLE,-1,False
14,180,LLE,0.8072589883293313,0.7509587882694901,-0.056300200059841154,8,4,LLE,-1,True
15,180,LLE,0.8292867816570391,0.8232743465395927,-0.006012435117446313,7,1,LLE,-1,True
17,180,LLE,0.8972652568987153,0.8548764593959692,-0.042388797502746045,9,4,LLE,-1,True
18,180,LLE,0.7490633192309588,0.7685628124730017,0.01949949324204292,5,6,LLE,-1,False
19,180,LLE,0.8820318022534263,0.7813240987634624,-0.10070770348996383,9,2,LLE,-1,True
21,180,LLE,0.732037566596335,0.7004813715614033,-0.03155619503493168,7,4,LLE,-1,True
22,180,LLE,0.7928449705775528,0.7817659992475559,-0.011078971329996912,8,3,LLE,-1,True
23,180,LLE,0.8866416940120309,0.8383374871933051,-0.048304206818725715,15,1,LLE,-1,True
25,180,LLE,0.9262252989181655,0.8052769964860191,-0.12094830243214638,6,4,LLE,-1,True
