session,window_id,state,vector_index,x_t,x_t_plus_tau,x_t_plus_2tau
sample_1,7,Awake,132,-136.61245320353535,259.2699789727416,128.2360483339446
sample_1,7,Awake,133,-49.17663143962901,247.74337048399283,121.21452944454884
sample_1,7,Awake,134,55.56358848601285,231.7194084683701,110.95449429477334
sample_1,7,Awake,135,151.03404271772294,210.59651010761007,94.65869709630954
sample_1,7,Awake,136,219.53348918783124,186.8981245589429,72.45264805349186
sample_1,7,Awake,137,256.92862861037094,164.8158409902287,46.80876171054689
sample_1,7,Awake,138,269.4340277249143,147.58179063084216,20.71750724027371
sample_1,7,Awake,139,267.4471989658648,135.9473851899833,-3.7342848479815807
sample_1,7,Awake,140,259.2699789727416,128.2360483339446,-26.066534361023592
sample_1,7,Awake,141,247.74337048399283,121.21452944454884,-46.87838771133485
sample_1,7,Awake,142,231.7194084683701,110.95449429477334,-66.80777669169328
sample_1,7,Awake,143,210.59651010761007,94.65869709630954,-86.29555555066655
sample_1,7,Awake,144,186.8981245589429,72.45264805349186,-105.81121015414246
sample_1,7,Awake,145,164.8158409902287,46.80876171054689,-125.73506323326076
sample_1,7,Awake,146,147.58179063084216,20.71750724027371,-146.3326998956547
sample_1,7,Awake,147,135.9473851899833,-3.7342848479815807,-168.15162690331675
sample_1,7,Awake,148,128.2360483339446,-26.066534361023592,-192.1448220191458
sample_1,7,Awake,149,121.21452944454884,-46.87838771133485,-219.43246737241031
sample_1,7,Awake,150,110.95449429477334,-66.80777669169328,-250.27408427453983
sample_1,7,Awake,151,94.65869709630954,-86.29555555066655,-280.665379304144
sample_1,7,Awake,152,72.45264805349186,-105.81121015414246,-298.2311532375421
sample_1,7,Awake,153,46.80876171054689,-125.73506323326076,-284.09341543464933
sample_1,7,Awake,154,20.71750724027371,-146.3326998956547,-225.2097612619588
sample_1,7,Awake,155,-3.7342848479815807,-168.15162690331675,-128.66246118518583
sample_1,7,Awake,156,-26.066534361023592,-192.1448220191458,-21.12310262773832
sample_1,7,Awake,157,-46.87838771133485,-219.43246737241031,68.07448460109816
sample_1,7,Awake,158,-66.80777669169328,-250.27408427453983,123.48489293492402
sample_1,7,Awake,159,-86.29555555066655,-280.665379304144,147.3176857525602
sample_1,7,Awake,160,-105.81121015414246,-298.2311532375421,151.91915519452408
sample_1,7,Awake,161,-125.73506323326076,-284.09341543464933,149.51863144805534
sample_1,7,Awake,162,-146.3326998956547,-225.2097612619588,146.15376663200462
sample_1,7,Awake,163,-168.15162690331675,-128.66246118518583,141.00310290783762
sample_1,7,Awake,164,-192.1448220191458,-21.12310262773832,130.24737962130231
sample_1,7,Awake,165,-219.43246737241031,68.07448460109816,113.00534203290698
sample_1,7,Awake,166,-250.27408427453983,123.48489293492402,93.74671969205464
sample_1,7,Awake,167,-280.665379304144,147.3176857525602,78.88308273240753
sample_1,7,Awake,168,-298.2311532375421,151.91915519452408,71.88735669140485
sample_1,7,Awake,169,-284.09341543464933,149.51863144805534,71.53507656313278
sample_1,7,Awake,170,-225.2097612619588,146.15376663200462,73.79108372920926
sample_1,7,Awake,171,-128.66246118518583,141.00310290783762,74.4591080529342
sample_1,7,Awake,172,-21.12310262773832,130.24737962130231,70.39368495157618
sample_1,7,Awake,173,68.07448460109816,113.00534203290698,60.286039307748815
sample_1,7,Awake,174,123.48489293492402,93.74671969205464,45.018151839721455
sample_1,7,Awake,175,147.3176857525602,78.88308273240753,26.513243271876625
sample_1,7,Awake,176,151.91915519452408,71.88735669140485,6.487984934254751
sample_1,7,Awake,177,149.51863144805534,71.53507656313278,-13.540555321718248
sample_1,7,Awake,178,146.15376663200462,73.79108372920926,-32.20773509790127
sample_1,7,Awake,179,141.00310290783762,74.4591080529342,-49.314043540817146
sample_1,7,Awake,180,130.24737962130231,70.39368495157618,-66.20356179072947
sample_1,7,Awake,181,113.00534203290698,60.286039307748815,-84.35275240678409
sample_1,7,Awake,182,93.74671969205464,45.018151839721455,-103.93268767022003
sample_1,7,Awake,183,78.88308273240753,26.513243271876625,-123.92695130965872
sample_1,7,Awake,184,71.88735669140485,6.487984934254751,-143.78742172095713
sample_1,7,Awake,185,71.53507656313278,-13.540555321718248,-164.52202857461117
sample_1,7,Awake,186,73.79108372920926,-32.20773509790127,-187.55744601021925
sample_1,7,Awake,187,74.4591080529342,-49.314043540817146,-213.584030320144
