session,threshold_pct,window_size_s,label,representation,n_windows,n_m_found,m_found_rate_pct,median_m,iqr_m,mode_m,q10_m,q25_m,q50_m,q75_m,q90_m,min_m,max_m,median_min_fnn_pct
sample_11.csv,1.0,120,Drowsy,Processed,8,4,50.0,6.0,0.75,6.0,6.0,6.0,6.0,6.75,8.100000000000001,6.0,9.0,0.9604998163709423
sample_11.csv,1.0,120,Drowsy,Raw,8,0,0.0,,,,,,,,,,,2.253107613909492
sample_11.csv,1.0,180,Awake,Processed,5,4,80.0,6.0,0.25,6.0,6.0,6.0,6.0,6.25,6.7,6.0,7.0,0.8954555630176853
sample_11.csv,1.0,180,Awake,Raw,5,1,20.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.3772146221125814
sample_11.csv,1.0,180,Drowsy,Processed,6,4,66.66666666666666,7.0,2.25,6.0,6.0,6.0,7.0,8.25,8.7,6.0,9.0,0.8962186783214456
sample_11.csv,1.0,180,Drowsy,Raw,6,0,0.0,,,,,,,,,,,2.5046798405679978
sample_11.csv,2.0,60,Awake,Processed,20,19,95.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,6.199999999999999,5.0,9.0,1.019029263862121
sample_11.csv,2.0,60,Awake,Raw,20,7,35.0,8.0,3.0,6.0,5.6,6.0,8.0,9.0,9.4,5.0,10.0,2.389078498293516
sample_11.csv,2.0,60,Drowsy,Processed,18,17,94.44444444444444,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,9.0,0.9498902733592554
sample_11.csv,2.0,60,Drowsy,Raw,16,5,31.25,8.0,2.0,6.0,6.0,6.0,8.0,8.0,8.6,6.0,9.0,2.2603004820379295
sample_11.csv,2.0,120,Awake,Processed,9,9,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.2,5.0,6.0,0.9424436216762032
sample_11.csv,2.0,120,Awake,Raw,8,1,12.5,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.597840755735493
sample_11.csv,2.0,120,Drowsy,Processed,8,7,87.5,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9604998163709423
sample_11.csv,2.0,120,Drowsy,Raw,8,2,25.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.253107613909492
sample_11.csv,2.0,180,Awake,Processed,5,5,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.6,5.0,6.0,0.8954555630176853
sample_11.csv,2.0,180,Awake,Raw,5,2,40.0,7.0,2.0,5.0,5.4,6.0,7.0,8.0,8.6,5.0,9.0,2.3772146221125814
sample_11.csv,2.0,180,Drowsy,Processed,6,6,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,6.5,5.0,8.0,0.8962186783214456
sample_11.csv,2.0,180,Drowsy,Raw,6,2,33.33333333333333,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.5046798405679978
sample_11.csv,3.0,60,Awake,Processed,20,20,100.0,4.5,1.0,4.0,4.0,4.0,4.5,5.0,5.0,4.0,5.0,1.019029263862121
sample_11.csv,3.0,60,Awake,Raw,20,18,90.0,6.0,3.75,5.0,5.0,5.0,6.0,8.75,9.0,4.0,10.0,2.389078498293516
sample_11.csv,3.0,60,Drowsy,Processed,18,18,100.0,4.0,0.75,4.0,4.0,4.0,4.0,4.75,5.0,4.0,5.0,0.9498902733592554
sample_11.csv,3.0,60,Drowsy,Raw,16,12,75.0,7.5,2.0,8.0,5.1,6.0,7.5,8.0,8.0,5.0,9.0,2.2603004820379295
sample_11.csv,3.0,120,Awake,Processed,9,9,100.0,5.0,0.0,5.0,4.8,5.0,5.0,5.0,5.0,4.0,5.0,0.9424436216762032
sample_11.csv,3.0,120,Awake,Raw,8,7,87.5,7.0,2.5,5.0,5.0,5.5,7.0,8.0,9.0,5.0,9.0,2.597840755735493
sample_11.csv,3.0,120,Drowsy,Processed,8,8,100.0,5.0,0.25,5.0,4.0,4.75,5.0,5.0,5.0,4.0,5.0,0.9604998163709423
sample_11.csv,3.0,120,Drowsy,Raw,8,6,75.0,7.0,0.75,7.0,6.0,7.0,7.0,7.75,9.0,5.0,10.0,2.253107613909492
sample_11.csv,3.0,180,Awake,Processed,5,5,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8954555630176853
sample_11.csv,3.0,180,Awake,Raw,5,4,80.0,6.0,0.75,6.0,5.3,5.75,6.0,6.5,7.4,5.0,8.0,2.3772146221125814
sample_11.csv,3.0,180,Drowsy,Processed,6,6,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8962186783214456
sample_11.csv,3.0,180,Drowsy,Raw,6,5,83.33333333333334,8.0,2.0,9.0,5.8,7.0,8.0,9.0,9.0,5.0,9.0,2.5046798405679978
